ensembl_gene_id,chromosome_name,external_gene_name,transcript_count,description
ENSG00000005844,16,ITGAL,20,"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) [Source:HGNC Symbol;Acc:6148]"
ENSG00000005981,7,ASB4,3,ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:16009]
ENSG00000006059,17,KRT33A,1,keratin 33A [Source:HGNC Symbol;Acc:6450]
ENSG00000006071,11,ABCC8,19,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:59]"
ENSG00000006074,17,CCL18,2,chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated) [Source:HGNC Symbol;Acc:10616]
ENSG00000006075,17,CCL3,3,chemokine (C-C motif) ligand 3 [Source:HGNC Symbol;Acc:10627]
ENSG00000006116,16,CACNG3,1,"calcium channel, voltage-dependent, gamma subunit 3 [Source:HGNC Symbol;Acc:1407]"
ENSG00000006210,16,CX3CL1,4,chemokine (C-X3-C motif) ligand 1 [Source:HGNC Symbol;Acc:10647]
ENSG00000006377,7,DLX6,4,distal-less homeobox 6 [Source:HGNC Symbol;Acc:2919]
ENSG00000006534,11,ALDH3B1,13,"aldehyde dehydrogenase 3 family, member B1 [Source:HGNC Symbol;Acc:410]"
ENSG00000006555,1,TTC22,5,tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:26067]
ENSG00000006611,11,USH1C,10,"Usher syndrome 1C (autosomal recessive, severe) [Source:HGNC Symbol;Acc:12597]"
ENSG00000006638,19,TBXA2R,4,thromboxane A2 receptor [Source:HGNC Symbol;Acc:11608]
ENSG00000006659,19,LGALS14,3,"lectin, galactoside-binding, soluble, 14 [Source:HGNC Symbol;Acc:30054]"
ENSG00000006747,7,SCIN,11,scinderin [Source:HGNC Symbol;Acc:21695]
ENSG00000006788,17,MYH13,2,"myosin, heavy chain 13, skeletal muscle [Source:HGNC Symbol;Acc:7571]"
ENSG00000007001,2,UPP2,5,uridine phosphorylase 2 [Source:HGNC Symbol;Acc:23061]
ENSG00000007038,16,PRSS21,11,"protease, serine, 21 (testisin) [Source:HGNC Symbol;Acc:9485]"
ENSG00000007129,19,CEACAM21,6,carcinoembryonic antigen-related cell adhesion molecule 21 [Source:HGNC Symbol;Acc:28834]
ENSG00000007171,17,NOS2,1,"nitric oxide synthase 2, inducible [Source:HGNC Symbol;Acc:7873]"
ENSG00000007174,17,DNAH9,15,"dynein, axonemal, heavy chain 9 [Source:HGNC Symbol;Acc:2953]"
ENSG00000007216,17,SLC13A2,8,"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:HGNC Symbol;Acc:10917]"
ENSG00000007306,19,CEACAM7,5,carcinoembryonic antigen-related cell adhesion molecule 7 [Source:HGNC Symbol;Acc:1819]
ENSG00000007312,17,CD79B,6,"CD79b molecule, immunoglobulin-associated beta [Source:HGNC Symbol;Acc:1699]"
ENSG00000007350,X,TKTL1,9,transketolase-like 1 [Source:HGNC Symbol;Acc:11835]
ENSG00000007908,1,SELE,11,selectin E [Source:HGNC Symbol;Acc:10718]
ENSG00000007933,1,FMO3,9,flavin containing monooxygenase 3 [Source:HGNC Symbol;Acc:3771]
ENSG00000007952,X,NOX1,5,NADPH oxidase 1 [Source:HGNC Symbol;Acc:7889]
ENSG00000008118,1,CAMK1G,4,calcium/calmodulin-dependent protein kinase IG [Source:HGNC Symbol;Acc:14585]
ENSG00000008196,6,TFAP2B,4,transcription factor AP-2 beta (activating enhancer binding protein 2 beta) [Source:HGNC Symbol;Acc:11743]
ENSG00000008197,6,TFAP2D,2,transcription factor AP-2 delta (activating enhancer binding protein 2 delta) [Source:HGNC Symbol;Acc:15581]
ENSG00000008226,3,DLEC1,8,deleted in lung and esophageal cancer 1 [Source:HGNC Symbol;Acc:2899]
ENSG00000008438,19,PGLYRP1,1,peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:8904]
ENSG00000008441,19,NFIX,14,nuclear factor I/X (CCAAT-binding transcription factor) [Source:HGNC Symbol;Acc:7788]
ENSG00000009724,1,MASP2,4,mannan-binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:6902]
ENSG00000009765,6,IYD,9,iodotyrosine deiodinase [Source:HGNC Symbol;Acc:21071]
ENSG00000009790,1,TRAF3IP3,18,TRAF3 interacting protein 3 [Source:HGNC Symbol;Acc:30766]
ENSG00000010030,6,ETV7,5,ets variant 7 [Source:HGNC Symbol;Acc:18160]
ENSG00000010282,3,HHATL,12,hedgehog acyltransferase-like [Source:HGNC Symbol;Acc:13242]
ENSG00000010310,19,GIPR,8,gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:4271]
ENSG00000010319,3,SEMA3G,3,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G [Source:HGNC Symbol;Acc:30400]"
ENSG00000010327,3,STAB1,9,stabilin 1 [Source:HGNC Symbol;Acc:18628]
ENSG00000010379,12,SLC6A13,12,"solute carrier family 6 (neurotransmitter transporter), member 13 [Source:HGNC Symbol;Acc:11046]"
ENSG00000010438,9,PRSS3,8,"protease, serine, 3 [Source:HGNC Symbol;Acc:9486]"
ENSG00000010671,X,BTK,8,Bruton agammaglobulinemia tyrosine kinase [Source:HGNC Symbol;Acc:1133]
ENSG00000010932,1,FMO1,8,flavin containing monooxygenase 1 [Source:HGNC Symbol;Acc:3769]
ENSG00000011052,17,NME2,3,NME/NM23 nucleoside diphosphate kinase 2 [Source:HGNC Symbol;Acc:7850]
ENSG00000011083,5,SLC6A7,3,"solute carrier family 6 (neurotransmitter transporter), member 7 [Source:HGNC Symbol;Acc:11054]"
ENSG00000011465,12,DCN,22,decorin [Source:HGNC Symbol;Acc:2705]
ENSG00000011590,19,ZBTB32,6,zinc finger and BTB domain containing 32 [Source:HGNC Symbol;Acc:16763]
ENSG00000011600,19,TYROBP,9,TYRO protein tyrosine kinase binding protein [Source:HGNC Symbol;Acc:12449]
ENSG00000012124,19,CD22,34,CD22 molecule [Source:HGNC Symbol;Acc:1643]
ENSG00000012223,3,LTF,10,lactotransferrin [Source:HGNC Symbol;Acc:6720]
ENSG00000012504,12,NR1H4,9,"nuclear receptor subfamily 1, group H, member 4 [Source:HGNC Symbol;Acc:7967]"
ENSG00000012779,10,ALOX5,7,arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:435]
ENSG00000013293,3,SLC7A14,2,"solute carrier family 7, member 14 [Source:HGNC Symbol;Acc:29326]"
ENSG00000013588,12,GPRC5A,5,"G protein-coupled receptor, family C, group 5, member A [Source:HGNC Symbol;Acc:9836]"
ENSG00000013619,X,MAMLD1,8,mastermind-like domain containing 1 [Source:HGNC Symbol;Acc:2568]
ENSG00000013725,11,CD6,16,CD6 molecule [Source:HGNC Symbol;Acc:1691]
ENSG00000014257,3,ACPP,9,"acid phosphatase, prostate [Source:HGNC Symbol;Acc:125]"
ENSG00000015285,X,WAS,7,Wiskott-Aldrich syndrome [Source:HGNC Symbol;Acc:12731]
ENSG00000015520,7,NPC1L1,4,NPC1-like 1 [Source:HGNC Symbol;Acc:7898]
ENSG00000015592,8,STMN4,7,stathmin-like 4 [Source:HGNC Symbol;Acc:16078]
ENSG00000016082,5,ISL1,3,ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:6132]
ENSG00000016490,1,CLCA1,2,chloride channel accessory 1 [Source:HGNC Symbol;Acc:2015]
ENSG00000016602,1,CLCA4,3,chloride channel accessory 4 [Source:HGNC Symbol;Acc:2018]
ENSG00000017427,12,IGF1,7,insulin-like growth factor 1 (somatomedin C) [Source:HGNC Symbol;Acc:5464]
ENSG00000017621,X,MAGIX,9,"MAGI family member, X-linked [Source:HGNC Symbol;Acc:30006]"
ENSG00000018280,2,SLC11A1,19,"solute carrier family 11 (proton-coupled divalent metal ion transporter), member 1 [Source:HGNC Symbol;Acc:10907]"
ENSG00000019102,11,VSIG2,2,V-set and immunoglobulin domain containing 2 [Source:HGNC Symbol;Acc:17149]
ENSG00000019169,2,MARCO,4,macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:6895]
ENSG00000019186,20,CYP24A1,6,"cytochrome P450, family 24, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2602]"
ENSG00000019485,11,PRDM11,6,PR domain containing 11 [Source:HGNC Symbol;Acc:13996]
ENSG00000019549,8,SNAI2,2,snail family zinc finger 2 [Source:HGNC Symbol;Acc:11094]
ENSG00000019991,7,HGF,10,hepatocyte growth factor (hepapoietin A; scatter factor) [Source:HGNC Symbol;Acc:4893]
ENSG00000021461,7,CYP3A43,17,"cytochrome P450, family 3, subfamily A, polypeptide 43 [Source:HGNC Symbol;Acc:17450]"
ENSG00000021488,19,SLC7A9,6,"solute carrier family 7 (amino acid transporter light chain, bo,+ system), member 9 [Source:HGNC Symbol;Acc:11067]"
ENSG00000021852,1,C8B,6,"complement component 8, beta polypeptide [Source:HGNC Symbol;Acc:1353]"
ENSG00000022355,5,GABRA1,10,"gamma-aminobutyric acid (GABA) A receptor, alpha 1 [Source:HGNC Symbol;Acc:4075]"
ENSG00000023445,11,BIRC3,6,baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:591]
ENSG00000023839,10,ABCC2,3,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2 [Source:HGNC Symbol;Acc:53]"
ENSG00000025708,22,TYMP,8,thymidine phosphorylase [Source:HGNC Symbol;Acc:3148]
ENSG00000026036,20,RTEL1-TNFRSF6B,4,RTEL1-TNFRSF6B readthrough (NMD candidate) [Source:HGNC Symbol;Acc:44095]
ENSG00000026751,1,SLAMF7,10,SLAM family member 7 [Source:HGNC Symbol;Acc:21394]
ENSG00000027644,1,INSRR,1,insulin receptor-related receptor [Source:HGNC Symbol;Acc:6093]
ENSG00000029559,4,IBSP,1,integrin-binding sialoprotein [Source:HGNC Symbol;Acc:5341]
ENSG00000030304,9,MUSK,6,"muscle, skeletal, receptor tyrosine kinase [Source:HGNC Symbol;Acc:7525]"
ENSG00000034239,8,EFCAB1,9,EF-hand calcium binding domain 1 [Source:HGNC Symbol;Acc:25678]
ENSG00000034971,1,MYOC,1,"myocilin, trabecular meshwork inducible glucocorticoid response [Source:HGNC Symbol;Acc:7610]"
ENSG00000035664,15,DAPK2,12,death-associated protein kinase 2 [Source:HGNC Symbol;Acc:2675]
ENSG00000035720,4,STAP1,2,signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:24133]
ENSG00000036448,8,MYOM2,15,myomesin 2 [Source:HGNC Symbol;Acc:7614]
ENSG00000036473,X,OTC,2,ornithine carbamoyltransferase [Source:HGNC Symbol;Acc:8512]
ENSG00000036565,8,SLC18A1,10,"solute carrier family 18 (vesicular monoamine transporter), member 1 [Source:HGNC Symbol;Acc:10934]"
ENSG00000036828,3,CASR,4,calcium-sensing receptor [Source:HGNC Symbol;Acc:1514]
ENSG00000037965,12,HOXC8,1,homeobox C8 [Source:HGNC Symbol;Acc:5129]
ENSG00000038295,4,TLL1,6,tolloid-like 1 [Source:HGNC Symbol;Acc:11843]
ENSG00000038945,8,MSR1,15,macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:7376]
ENSG00000039139,5,DNAH5,4,"dynein, axonemal, heavy chain 5 [Source:HGNC Symbol;Acc:2950]"
ENSG00000039537,5,C6,8,complement component 6 [Source:HGNC Symbol;Acc:1339]
ENSG00000039600,5,SOX30,3,SRY (sex determining region Y)-box 30 [Source:HGNC Symbol;Acc:30635]
ENSG00000039987,19,BEST2,4,bestrophin 2 [Source:HGNC Symbol;Acc:17107]
ENSG00000040731,5,CDH10,4,"cadherin 10, type 2 (T2-cadherin) [Source:HGNC Symbol;Acc:1749]"
ENSG00000041353,18,RAB27B,4,"RAB27B, member RAS oncogene family [Source:HGNC Symbol;Acc:9767]"
ENSG00000041515,13,MYO16,7,myosin XVI [Source:HGNC Symbol;Acc:29822]
ENSG00000041880,3,PARP3,9,"poly (ADP-ribose) polymerase family, member 3 [Source:HGNC Symbol;Acc:273]"
ENSG00000042304,2,C2orf83,2,chromosome 2 open reading frame 83 [Source:HGNC Symbol;Acc:25344]
ENSG00000042781,1,USH2A,5,"Usher syndrome 2A (autosomal recessive, mild) [Source:HGNC Symbol;Acc:12601]"
ENSG00000042813,7,ZPBP,6,zona pellucida binding protein [Source:HGNC Symbol;Acc:15662]
ENSG00000042832,8,TG,22,thyroglobulin [Source:HGNC Symbol;Acc:11764]
ENSG00000042980,8,ADAM28,14,ADAM metallopeptidase domain 28 [Source:HGNC Symbol;Acc:206]
ENSG00000043039,11,BARX2,4,BARX homeobox 2 [Source:HGNC Symbol;Acc:956]
ENSG00000043462,5,LCP2,9,lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa) [Source:HGNC Symbol;Acc:6529]
ENSG00000043591,10,ADRB1,1,adrenoceptor beta 1 [Source:HGNC Symbol;Acc:285]
ENSG00000044012,1,GUCA2B,1,guanylate cyclase activator 2B (uroguanylin) [Source:HGNC Symbol;Acc:4683]
ENSG00000044524,3,EPHA3,3,EPH receptor A3 [Source:HGNC Symbol;Acc:3387]
ENSG00000046774,X,MAGEC2,1,"melanoma antigen family C, 2 [Source:HGNC Symbol;Acc:13574]"
ENSG00000047457,3,CP,15,ceruloplasmin (ferroxidase) [Source:HGNC Symbol;Acc:2295]
ENSG00000047597,X,XK,1,X-linked Kx blood group (McLeod syndrome) [Source:HGNC Symbol;Acc:12811]
ENSG00000047648,X,ARHGAP6,11,Rho GTPase activating protein 6 [Source:HGNC Symbol;Acc:676]
ENSG00000047936,6,ROS1,3,"c-ros oncogene 1 , receptor tyrosine kinase [Source:HGNC Symbol;Acc:10261]"
ENSG00000048462,16,TNFRSF17,3,"tumor necrosis factor receptor superfamily, member 17 [Source:HGNC Symbol;Acc:11913]"
ENSG00000049247,1,UTS2,3,urotensin 2 [Source:HGNC Symbol;Acc:12636]
ENSG00000049249,1,TNFRSF9,3,"tumor necrosis factor receptor superfamily, member 9 [Source:HGNC Symbol;Acc:11924]"
ENSG00000049768,X,FOXP3,6,forkhead box P3 [Source:HGNC Symbol;Acc:6106]
ENSG00000050628,1,PTGER3,12,prostaglandin E receptor 3 (subtype EP3) [Source:HGNC Symbol;Acc:9595]
ENSG00000050730,4,TNIP3,8,TNFAIP3 interacting protein 3 [Source:HGNC Symbol;Acc:19315]
ENSG00000052850,11,ALX4,1,ALX homeobox 4 [Source:HGNC Symbol;Acc:450]
ENSG00000053438,20,NNAT,2,neuronatin [Source:HGNC Symbol;Acc:7860]
ENSG00000053702,12,NRIP2,3,nuclear receptor interacting protein 2 [Source:HGNC Symbol;Acc:23078]
ENSG00000054219,2,LY75,6,lymphocyte antigen 75 [Source:HGNC Symbol;Acc:6729]
ENSG00000054392,1,HHAT,11,hedgehog acyltransferase [Source:HGNC Symbol;Acc:18270]
ENSG00000054796,20,SPO11,5,SPO11 meiotic protein covalently bound to DSB [Source:HGNC Symbol;Acc:11250]
ENSG00000054803,20,CBLN4,1,cerebellin 4 precursor [Source:HGNC Symbol;Acc:16231]
ENSG00000054938,11,CHRDL2,9,chordin-like 2 [Source:HGNC Symbol;Acc:24168]
ENSG00000055813,2,CCDC85A,1,coiled-coil domain containing 85A [Source:HGNC Symbol;Acc:29400]
ENSG00000055955,3,ITIH4,17,"inter-alpha-trypsin inhibitor heavy chain family, member 4 [Source:HGNC Symbol;Acc:6169]"
ENSG00000055957,3,ITIH1,13,inter-alpha-trypsin inhibitor heavy chain 1 [Source:HGNC Symbol;Acc:6166]
ENSG00000057149,18,SERPINB3,2,"serpin peptidase inhibitor, clade B (ovalbumin), member 3 [Source:HGNC Symbol;Acc:10569]"
ENSG00000057468,1,MSH4,1,mutS homolog 4 [Source:HGNC Symbol;Acc:7327]
ENSG00000057593,13,F7,6,coagulation factor VII (serum prothrombin conversion accelerator) [Source:HGNC Symbol;Acc:3544]
ENSG00000058335,15,RASGRF1,8,Ras protein-specific guanine nucleotide-releasing factor 1 [Source:HGNC Symbol;Acc:9875]
ENSG00000058866,3,DGKG,12,"diacylglycerol kinase, gamma 90kDa [Source:HGNC Symbol;Acc:2853]"
ENSG00000059377,7,TBXAS1,24,thromboxane A synthase 1 (platelet) [Source:HGNC Symbol;Acc:11609]
ENSG00000060558,19,GNA15,3,"guanine nucleotide binding protein (G protein), alpha 15 (Gq class) [Source:HGNC Symbol;Acc:4383]"
ENSG00000060566,19,CREB3L3,6,cAMP responsive element binding protein 3-like 3 [Source:HGNC Symbol;Acc:18855]
ENSG00000060709,12,RIMBP2,6,RIMS binding protein 2 [Source:HGNC Symbol;Acc:30339]
ENSG00000061455,5,PRDM6,4,PR domain containing 6 [Source:HGNC Symbol;Acc:9350]
ENSG00000061492,5,WNT8A,4,"wingless-type MMTV integration site family, member 8A [Source:HGNC Symbol;Acc:12788]"
ENSG00000062096,X,ARSF,3,arylsulfatase F [Source:HGNC Symbol;Acc:721]
ENSG00000062524,15,LTK,6,leukocyte receptor tyrosine kinase [Source:HGNC Symbol;Acc:6721]
ENSG00000063015,17,SEZ6,10,seizure related 6 homolog (mouse) [Source:HGNC Symbol;Acc:15955]
ENSG00000063438,5,AHRR,11,aryl-hydrocarbon receptor repressor [Source:HGNC Symbol;Acc:346]
ENSG00000063515,22,GSC2,1,goosecoid homeobox 2 [Source:HGNC Symbol;Acc:4613]
ENSG00000064195,17,DLX3,2,distal-less homeobox 3 [Source:HGNC Symbol;Acc:2916]
ENSG00000064201,11,TSPAN32,16,tetraspanin 32 [Source:HGNC Symbol;Acc:13410]
ENSG00000064205,20,WISP2,6,WNT1 inducible signaling pathway protein 2 [Source:HGNC Symbol;Acc:12770]
ENSG00000064218,9,DMRT3,2,doublesex and mab-3 related transcription factor 3 [Source:HGNC Symbol;Acc:13909]
ENSG00000064489,19,MEF2BNB-MEF2B,7,MEF2BNB-MEF2B readthrough [Source:HGNC Symbol;Acc:39979]
ENSG00000064787,20,BCAS1,7,breast carcinoma amplified sequence 1 [Source:HGNC Symbol;Acc:974]
ENSG00000064835,3,POU1F1,4,POU class 1 homeobox 1 [Source:HGNC Symbol;Acc:9210]
ENSG00000064886,1,CHI3L2,17,chitinase 3-like 2 [Source:HGNC Symbol;Acc:1933]
ENSG00000064989,2,CALCRL,9,calcitonin receptor-like [Source:HGNC Symbol;Acc:16709]
ENSG00000065325,17,GLP2R,4,glucagon-like peptide 2 receptor [Source:HGNC Symbol;Acc:4325]
ENSG00000065371,3,ROPN1,10,rhophilin associated tail protein 1 [Source:HGNC Symbol;Acc:17692]
ENSG00000065413,2,ANKRD44,17,ankyrin repeat domain 44 [Source:HGNC Symbol;Acc:25259]
ENSG00000065609,6,SNAP91,24,"synaptosomal-associated protein, 91kDa [Source:HGNC Symbol;Acc:14986]"
ENSG00000065618,10,COL17A1,7,"collagen, type XVII, alpha 1 [Source:HGNC Symbol;Acc:2194]"
ENSG00000066185,1,ZMYND12,4,"zinc finger, MYND-type containing 12 [Source:HGNC Symbol;Acc:21192]"
ENSG00000066230,5,SLC9A3,3,"solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 [Source:HGNC Symbol;Acc:11073]"
ENSG00000066294,1,CD84,8,CD84 molecule [Source:HGNC Symbol;Acc:1704]
ENSG00000066336,11,SPI1,4,spleen focus forming virus (SFFV) proviral integration oncogene [Source:HGNC Symbol;Acc:11241]
ENSG00000066405,3,CLDN18,3,claudin 18 [Source:HGNC Symbol;Acc:2039]
ENSG00000066813,16,ACSM2B,19,acyl-CoA synthetase medium-chain family member 2B [Source:HGNC Symbol;Acc:30931]
ENSG00000067798,12,NAV3,17,neuron navigator 3 [Source:HGNC Symbol;Acc:15998]
ENSG00000067842,X,ATP2B3,8,"ATPase, Ca++ transporting, plasma membrane 3 [Source:HGNC Symbol;Acc:816]"
ENSG00000068781,2,STON1-GTF2A1L,7,STON1-GTF2A1L readthrough [Source:HGNC Symbol;Acc:30651]
ENSG00000068985,X,PAGE1,1,"P antigen family, member 1 (prostate associated) [Source:HGNC Symbol;Acc:4107]"
ENSG00000069011,5,PITX1,6,paired-like homeodomain 1 [Source:HGNC Symbol;Acc:9004]
ENSG00000069018,5,TRPC7,10,"transient receptor potential cation channel, subfamily C, member 7 [Source:HGNC Symbol;Acc:20754]"
ENSG00000069122,6,GPR116,7,G protein-coupled receptor 116 [Source:HGNC Symbol;Acc:19030]
ENSG00000069206,8,ADAM7,4,ADAM metallopeptidase domain 7 [Source:HGNC Symbol;Acc:214]
ENSG00000069431,12,ABCC9,6,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9 [Source:HGNC Symbol;Acc:60]"
ENSG00000069535,X,MAOB,5,monoamine oxidase B [Source:HGNC Symbol;Acc:6834]
ENSG00000069764,16,PLA2G10,2,"phospholipase A2, group X [Source:HGNC Symbol;Acc:9029]"
ENSG00000069812,1,HES2,6,hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:16005]
ENSG00000070031,11,SCT,1,secretin [Source:HGNC Symbol;Acc:10607]
ENSG00000070182,14,SPTB,9,"spectrin, beta, erythrocytic [Source:HGNC Symbol;Acc:11274]"
ENSG00000070190,4,DAPP1,4,dual adaptor of phosphotyrosine and 3-phosphoinositides [Source:HGNC Symbol;Acc:16500]
ENSG00000070193,5,FGF10,2,fibroblast growth factor 10 [Source:HGNC Symbol;Acc:3666]
ENSG00000070388,19,FGF22,4,fibroblast growth factor 22 [Source:HGNC Symbol;Acc:3679]
ENSG00000070526,17,ST6GALNAC1,11,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:23614]"
ENSG00000070601,9,FRMPD1,5,FERM and PDZ domain containing 1 [Source:HGNC Symbol;Acc:29159]
ENSG00000070729,16,CNGB1,9,cyclic nucleotide gated channel beta 1 [Source:HGNC Symbol;Acc:2151]
ENSG00000070748,10,CHAT,10,choline O-acetyltransferase [Source:HGNC Symbol;Acc:1912]
ENSG00000070808,5,CAMK2A,7,calcium/calmodulin-dependent protein kinase II alpha [Source:HGNC Symbol;Acc:1460]
ENSG00000070915,16,SLC12A3,6,"solute carrier family 12 (sodium/chloride transporter), member 3 [Source:HGNC Symbol;Acc:10912]"
ENSG00000070985,11,TRPM5,5,"transient receptor potential cation channel, subfamily M, member 5 [Source:HGNC Symbol;Acc:14323]"
ENSG00000071203,11,MS4A12,5,"membrane-spanning 4-domains, subfamily A, member 12 [Source:HGNC Symbol;Acc:13370]"
ENSG00000071677,2,PRLH,1,prolactin releasing hormone [Source:HGNC Symbol;Acc:17945]
ENSG00000071909,2,MYO3B,10,myosin IIIB [Source:HGNC Symbol;Acc:15576]
ENSG00000071991,18,CDH19,5,"cadherin 19, type 2 [Source:HGNC Symbol;Acc:1758]"
ENSG00000072080,2,SPP2,4,"secreted phosphoprotein 2, 24kDa [Source:HGNC Symbol;Acc:11256]"
ENSG00000072315,X,TRPC5,1,"transient receptor potential cation channel, subfamily C, member 5 [Source:HGNC Symbol;Acc:12337]"
ENSG00000072444,10,ASAH2C,2,N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2C [Source:HGNC Symbol;Acc:23457]
ENSG00000072657,12,TRHDE,7,thyrotropin-releasing hormone degrading enzyme [Source:HGNC Symbol;Acc:30748]
ENSG00000072694,1,FCGR2B,9,"Fc fragment of IgG, low affinity IIb, receptor (CD32) [Source:HGNC Symbol;Acc:3618]"
ENSG00000072858,3,SIDT1,12,"SID1 transmembrane family, member 1 [Source:HGNC Symbol;Acc:25967]"
ENSG00000073009,X,IKBKG,17,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Source:HGNC Symbol;Acc:5961]"
ENSG00000073067,7,CYP2W1,5,"cytochrome P450, family 2, subfamily W, polypeptide 1 [Source:HGNC Symbol;Acc:20243]"
ENSG00000073146,22,MOV10L1,11,"Mov10l1, Moloney leukemia virus 10-like 1, homolog (mouse) [Source:HGNC Symbol;Acc:7201]"
ENSG00000073282,3,TP63,15,tumor protein p63 [Source:HGNC Symbol;Acc:15979]
ENSG00000073331,4,ALPK1,18,alpha-kinase 1 [Source:HGNC Symbol;Acc:20917]
ENSG00000073598,17,FNDC8,1,fibronectin type III domain containing 8 [Source:HGNC Symbol;Acc:25286]
ENSG00000073734,2,ABCB11,3,"ATP-binding cassette, sub-family B (MDR/TAP), member 11 [Source:HGNC Symbol;Acc:42]"
ENSG00000073737,2,DHRS9,9,dehydrogenase/reductase (SDR family) member 9 [Source:HGNC Symbol;Acc:16888]
ENSG00000073754,1,CD5L,2,CD5 molecule-like [Source:HGNC Symbol;Acc:1690]
ENSG00000073756,1,PTGS2,5,prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase) [Source:HGNC Symbol;Acc:9605]
ENSG00000073861,17,TBX21,2,T-box 21 [Source:HGNC Symbol;Acc:11599]
ENSG00000074276,5,CDHR2,7,cadherin-related family member 2 [Source:HGNC Symbol;Acc:18231]
ENSG00000074416,3,MGLL,14,monoglyceride lipase [Source:HGNC Symbol;Acc:17038]
ENSG00000074771,6,NOX3,1,NADPH oxidase 3 [Source:HGNC Symbol;Acc:7890]
ENSG00000074803,15,SLC12A1,11,"solute carrier family 12 (sodium/potassium/chloride transporter), member 1 [Source:HGNC Symbol;Acc:10910]"
ENSG00000074966,4,TXK,6,TXK tyrosine kinase [Source:HGNC Symbol;Acc:12434]
