ensembl_gene_id,chromosome_name,external_gene_name,transcript_count,description
ENSG00000007923,1,DNAJC11,14,"DnaJ (Hsp40) homolog, subfamily C, member 11 [Source:HGNC Symbol;Acc:25570]"
ENSG00000008311,7,AASS,7,aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:17366]
ENSG00000008394,12,MGST1,18,microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:7061]
ENSG00000008405,12,CRY1,5,cryptochrome 1 (photolyase-like) [Source:HGNC Symbol;Acc:2384]
ENSG00000010256,3,UQCRC1,10,ubiquinol-cytochrome c reductase core protein I [Source:HGNC Symbol;Acc:12585]
ENSG00000011295,17,TTC19,11,tetratricopeptide repeat domain 19 [Source:HGNC Symbol;Acc:26006]
ENSG00000011376,3,LARS2,8,"leucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:17095]"
ENSG00000013306,17,SLC25A39,17,"solute carrier family 25, member 39 [Source:HGNC Symbol;Acc:24279]"
ENSG00000013583,12,HEBP1,4,heme binding protein 1 [Source:HGNC Symbol;Acc:17176]
ENSG00000014641,2,MDH1,17,"malate dehydrogenase 1, NAD (soluble) [Source:HGNC Symbol;Acc:6970]"
ENSG00000014824,4,SLC30A9,5,"solute carrier family 30 (zinc transporter), member 9 [Source:HGNC Symbol;Acc:1329]"
ENSG00000014919,10,COX15,3,cytochrome c oxidase assembly homolog 15 (yeast) [Source:HGNC Symbol;Acc:2263]
ENSG00000015475,22,BID,10,BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:1050]
ENSG00000016391,3,CHDH,3,choline dehydrogenase [Source:HGNC Symbol;Acc:24288]
ENSG00000019186,20,CYP24A1,6,"cytochrome P450, family 24, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2602]"
ENSG00000021826,2,CPS1,11,"carbamoyl-phosphate synthase 1, mitochondrial [Source:HGNC Symbol;Acc:2323]"
ENSG00000023228,2,NDUFS1,10,"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:7707]"
ENSG00000023330,3,ALAS1,6,"aminolevulinate, delta-, synthase 1 [Source:HGNC Symbol;Acc:396]"
ENSG00000023572,1,GLRX2,3,glutaredoxin 2 [Source:HGNC Symbol;Acc:16065]
ENSG00000025772,20,TOMM34,1,translocase of outer mitochondrial membrane 34 [Source:HGNC Symbol;Acc:15746]
ENSG00000027001,13,MIPEP,5,mitochondrial intermediate peptidase [Source:HGNC Symbol;Acc:7104]
ENSG00000029639,6,TFB1M,9,"transcription factor B1, mitochondrial [Source:HGNC Symbol;Acc:17037]"
ENSG00000030110,6,BAK1,3,BCL2-antagonist/killer 1 [Source:HGNC Symbol;Acc:949]
ENSG00000033050,7,ABCF2,6,"ATP-binding cassette, sub-family F (GCN20), member 2 [Source:HGNC Symbol;Acc:71]"
ENSG00000035141,2,FAM136A,6,"family with sequence similarity 136, member A [Source:HGNC Symbol;Acc:25911]"
ENSG00000036473,X,OTC,2,ornithine carbamoyltransferase [Source:HGNC Symbol;Acc:8512]
ENSG00000042286,10,AIFM2,3,"apoptosis-inducing factor, mitochondrion-associated, 2 [Source:HGNC Symbol;Acc:21411]"
ENSG00000043514,1,TRIT1,18,tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:20286]
ENSG00000048544,6,MRPS10,1,mitochondrial ribosomal protein S10 [Source:HGNC Symbol;Acc:14502]
ENSG00000049883,5,PTCD2,12,pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:25734]
ENSG00000050393,6,MCUR1,4,mitochondrial calcium uniporter regulator 1 [Source:HGNC Symbol;Acc:21097]
ENSG00000050426,12,LETMD1,38,LETM1 domain containing 1 [Source:HGNC Symbol;Acc:24241]
ENSG00000053371,1,AKR7A2,5,"aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase) [Source:HGNC Symbol;Acc:389]"
ENSG00000054523,1,KIF1B,10,kinesin family member 1B [Source:HGNC Symbol;Acc:16636]
ENSG00000055950,10,MRPL43,14,mitochondrial ribosomal protein L43 [Source:HGNC Symbol;Acc:14517]
ENSG00000059573,10,ALDH18A1,5,"aldehyde dehydrogenase 18 family, member A1 [Source:HGNC Symbol;Acc:9722]"
ENSG00000059691,4,PET112,14,PET112 homolog (yeast) [Source:HGNC Symbol;Acc:8849]
ENSG00000060762,6,MPC1,5,mitochondrial pyruvate carrier 1 [Source:HGNC Symbol;Acc:21606]
ENSG00000060971,3,ACAA1,20,acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:82]
ENSG00000061794,12,MRPS35,5,mitochondrial ribosomal protein S35 [Source:HGNC Symbol;Acc:16635]
ENSG00000062485,12,CS,33,citrate synthase [Source:HGNC Symbol;Acc:2422]
ENSG00000062582,7,MRPS24,5,mitochondrial ribosomal protein S24 [Source:HGNC Symbol;Acc:14510]
ENSG00000063241,19,ISOC2,8,isochorismatase domain containing 2 [Source:HGNC Symbol;Acc:26278]
ENSG00000063761,14,ADCK1,8,aarF domain containing kinase 1 [Source:HGNC Symbol;Acc:19038]
ENSG00000063854,16,HAGH,12,hydroxyacylglutathione hydrolase [Source:HGNC Symbol;Acc:4805]
ENSG00000064012,2,CASP8,21,"caspase 8, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1509]"
ENSG00000065057,16,NTHL1,9,nth endonuclease III-like 1 (E. coli) [Source:HGNC Symbol;Acc:8028]
ENSG00000065154,10,OAT,8,ornithine aminotransferase [Source:HGNC Symbol;Acc:8091]
ENSG00000065427,16,KARS,12,lysyl-tRNA synthetase [Source:HGNC Symbol;Acc:6215]
ENSG00000065518,3,NDUFB4,6,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa [Source:HGNC Symbol;Acc:7699]"
ENSG00000065833,6,ME1,3,"malic enzyme 1, NADP(+)-dependent, cytosolic [Source:HGNC Symbol;Acc:6983]"
ENSG00000065911,2,MTHFD2,10,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:7434]"
ENSG00000066651,6,TRMT11,12,tRNA methyltransferase 11 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:21080]
ENSG00000066855,8,MTFR1,15,mitochondrial fission regulator 1 [Source:HGNC Symbol;Acc:29510]
ENSG00000066926,18,FECH,10,ferrochelatase [Source:HGNC Symbol;Acc:3647]
ENSG00000067064,10,IDI1,5,isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:5387]
ENSG00000067221,15,STOML1,13,stomatin (EPB72)-like 1 [Source:HGNC Symbol;Acc:14560]
ENSG00000067704,1,IARS2,5,"isoleucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:29685]"
ENSG00000067829,X,IDH3G,11,isocitrate dehydrogenase 3 (NAD+) gamma [Source:HGNC Symbol;Acc:5386]
ENSG00000067992,X,PDK3,3,"pyruvate dehydrogenase kinase, isozyme 3 [Source:HGNC Symbol;Acc:8811]"
ENSG00000068120,17,COASY,16,CoA synthase [Source:HGNC Symbol;Acc:29932]
ENSG00000068366,X,ACSL4,12,acyl-CoA synthetase long-chain family member 4 [Source:HGNC Symbol;Acc:3571]
ENSG00000069509,X,FUNDC1,2,FUN14 domain containing 1 [Source:HGNC Symbol;Acc:28746]
ENSG00000069535,X,MAOB,5,monoamine oxidase B [Source:HGNC Symbol;Acc:6834]
ENSG00000069998,22,CECR5,7,"cat eye syndrome chromosome region, candidate 5 [Source:HGNC Symbol;Acc:1843]"
ENSG00000070081,11,NUCB2,18,nucleobindin 2 [Source:HGNC Symbol;Acc:8044]
ENSG00000072042,14,RDH11,11,retinol dehydrogenase 11 (all-trans/9-cis/11-cis) [Source:HGNC Symbol;Acc:17964]
ENSG00000072210,17,ALDH3A2,23,"aldehyde dehydrogenase 3 family, member A2 [Source:HGNC Symbol;Acc:403]"
ENSG00000072506,X,HSD17B10,5,hydroxysteroid (17-beta) dehydrogenase 10 [Source:HGNC Symbol;Acc:4800]
ENSG00000072756,3,TRNT1,11,"tRNA nucleotidyl transferase, CCA-adding, 1 [Source:HGNC Symbol;Acc:17341]"
ENSG00000072778,17,ACADVL,39,"acyl-CoA dehydrogenase, very long chain [Source:HGNC Symbol;Acc:92]"
ENSG00000073169,22,SELO,2,Selenoprotein O  [Source:UniProtKB/Swiss-Prot;Acc:Q9BVL4]
ENSG00000073578,5,SDHA,19,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp) [Source:HGNC Symbol;Acc:10680]"
ENSG00000074071,16,MRPS34,3,mitochondrial ribosomal protein S34 [Source:HGNC Symbol;Acc:16618]
ENSG00000074582,2,BCS1L,20,BC1 (ubiquinol-cytochrome c reductase) synthesis-like [Source:HGNC Symbol;Acc:1020]
ENSG00000075239,11,ACAT1,12,acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:93]
ENSG00000075303,7,SLC25A40,8,"solute carrier family 25, member 40 [Source:HGNC Symbol;Acc:29680]"
ENSG00000075336,18,TIMM21,6,translocase of inner mitochondrial membrane 21 homolog (yeast) [Source:HGNC Symbol;Acc:25010]
ENSG00000075415,12,SLC25A3,17,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3 [Source:HGNC Symbol;Acc:10989]"
ENSG00000076043,11,REXO2,19,RNA exonuclease 2 [Source:HGNC Symbol;Acc:17851]
ENSG00000076242,3,MLH1,22,mutL homolog 1 [Source:HGNC Symbol;Acc:7127]
ENSG00000076248,12,UNG,5,uracil-DNA glycosylase [Source:HGNC Symbol;Acc:12572]
ENSG00000076555,12,ACACB,16,acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:85]
ENSG00000077713,X,SLC25A43,5,"solute carrier family 25, member 43 [Source:HGNC Symbol;Acc:30557]"
ENSG00000078070,3,MCCC1,14,methylcrotonoyl-CoA carboxylase 1 (alpha) [Source:HGNC Symbol;Acc:6936]
ENSG00000078618,1,NRD1,14,nardilysin (N-arginine dibasic convertase) [Source:HGNC Symbol;Acc:7995]
ENSG00000078668,8,VDAC3,13,voltage-dependent anion channel 3 [Source:HGNC Symbol;Acc:12674]
ENSG00000080819,3,CPOX,5,coproporphyrinogen oxidase [Source:HGNC Symbol;Acc:2321]
ENSG00000081181,14,ARG2,4,arginase 2 [Source:HGNC Symbol;Acc:664]
ENSG00000081791,5,KIAA0141,7,KIAA0141 [Source:HGNC Symbol;Acc:28969]
ENSG00000082212,18,ME2,5,"malic enzyme 2, NAD(+)-dependent, mitochondrial [Source:HGNC Symbol;Acc:6984]"
ENSG00000082515,5,MRPL22,7,mitochondrial ribosomal protein L22 [Source:HGNC Symbol;Acc:14480]
ENSG00000083099,6,LYRM2,10,LYR motif containing 2 [Source:HGNC Symbol;Acc:25229]
ENSG00000083123,6,BCKDHB,7,"branched chain keto acid dehydrogenase E1, beta polypeptide [Source:HGNC Symbol;Acc:987]"
ENSG00000083720,5,OXCT1,8,3-oxoacid CoA transferase 1 [Source:HGNC Symbol;Acc:8527]
ENSG00000084090,2,STARD7,6,StAR-related lipid transfer (START) domain containing 7 [Source:HGNC Symbol;Acc:18063]
ENSG00000084092,4,NOA1,1,nitric oxide associated 1 [Source:HGNC Symbol;Acc:28473]
ENSG00000084754,2,HADHA,5,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit [Source:HGNC Symbol;Acc:4801]"
ENSG00000085491,1,SLC25A24,4,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24 [Source:HGNC Symbol;Acc:20662]"
ENSG00000085760,2,MTIF2,12,mitochondrial translational initiation factor 2 [Source:HGNC Symbol;Acc:7441]
ENSG00000086504,16,MRPL28,10,mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:14484]
ENSG00000087008,4,ACOX3,8,"acyl-CoA oxidase 3, pristanoyl [Source:HGNC Symbol;Acc:121]"
ENSG00000087088,19,BAX,13,BCL2-associated X protein [Source:HGNC Symbol;Acc:959]
ENSG00000087157,17,PGS1,16,phosphatidylglycerophosphate synthase 1 [Source:HGNC Symbol;Acc:30029]
ENSG00000087299,14,L2HGDH,7,L-2-hydroxyglutarate dehydrogenase [Source:HGNC Symbol;Acc:20499]
ENSG00000087470,12,DNM1L,30,dynamin 1-like [Source:HGNC Symbol;Acc:2973]
ENSG00000088179,2,PTPN4,13,"protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte) [Source:HGNC Symbol;Acc:9656]"
ENSG00000088682,16,COQ9,16,coenzyme Q9 [Source:HGNC Symbol;Acc:25302]
ENSG00000088766,20,CRLS1,7,cardiolipin synthase 1 [Source:HGNC Symbol;Acc:16148]
ENSG00000088888,20,MAVS,3,mitochondrial antiviral signaling protein [Source:HGNC Symbol;Acc:29233]
ENSG00000089163,12,SIRT4,3,sirtuin 4 [Source:HGNC Symbol;Acc:14932]
ENSG00000090263,7,MRPS33,9,mitochondrial ribosomal protein S33 [Source:HGNC Symbol;Acc:16634]
ENSG00000090266,7,NDUFB2,16,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa [Source:HGNC Symbol;Acc:7697]"
ENSG00000090432,1,MUL1,1,mitochondrial E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:25762]
ENSG00000090857,16,PDPR,12,pyruvate dehydrogenase phosphatase regulatory subunit [Source:HGNC Symbol;Acc:30264]
ENSG00000091140,7,DLD,14,dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:2898]
ENSG00000091483,1,FH,3,fumarate hydratase [Source:HGNC Symbol;Acc:3700]
ENSG00000093010,22,COMT,11,catechol-O-methyltransferase [Source:HGNC Symbol;Acc:2228]
ENSG00000093144,6,ECHDC1,24,enoyl CoA hydratase domain containing 1 [Source:HGNC Symbol;Acc:21489]
ENSG00000095321,9,CRAT,9,carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:2342]
ENSG00000096080,6,MRPS18A,3,mitochondrial ribosomal protein S18A [Source:HGNC Symbol;Acc:14515]
ENSG00000097021,1,ACOT7,11,acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:24157]
ENSG00000099624,19,ATP5D,8,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit [Source:HGNC Symbol;Acc:837]"
ENSG00000099795,19,NDUFB7,2,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa [Source:HGNC Symbol;Acc:7702]"
ENSG00000099800,19,TIMM13,2,translocase of inner mitochondrial membrane 13 homolog (yeast) [Source:HGNC Symbol;Acc:11816]
ENSG00000099821,19,POLRMT,11,polymerase (RNA) mitochondrial (DNA directed) [Source:HGNC Symbol;Acc:9200]
ENSG00000099940,22,SNAP29,3,"synaptosomal-associated protein, 29kDa [Source:HGNC Symbol;Acc:11133]"
ENSG00000099968,22,BCL2L13,14,BCL2-like 13 (apoptosis facilitator) [Source:HGNC Symbol;Acc:17164]
ENSG00000100033,22,PRODH,14,proline dehydrogenase (oxidase) 1 [Source:HGNC Symbol;Acc:9453]
ENSG00000100075,22,SLC25A1,5,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1 [Source:HGNC Symbol;Acc:10979]"
ENSG00000100116,22,GCAT,7,glycine C-acetyltransferase [Source:HGNC Symbol;Acc:4188]
ENSG00000100151,22,PICK1,15,protein interacting with PRKCA 1 [Source:HGNC Symbol;Acc:9394]
ENSG00000100209,22,HSCB,7,HscB mitochondrial iron-sulfur cluster co-chaperone [Source:HGNC Symbol;Acc:28913]
ENSG00000100216,22,TOMM22,2,translocase of outer mitochondrial membrane 22 homolog (yeast) [Source:HGNC Symbol;Acc:18002]
ENSG00000100243,22,CYB5R3,9,cytochrome b5 reductase 3 [Source:HGNC Symbol;Acc:2873]
ENSG00000100266,22,PACSIN2,11,protein kinase C and casein kinase substrate in neurons 2 [Source:HGNC Symbol;Acc:8571]
ENSG00000100294,22,MCAT,4,malonyl CoA:ACP acyltransferase (mitochondrial) [Source:HGNC Symbol;Acc:29622]
ENSG00000100300,22,TSPO,6,translocator protein (18kDa) [Source:HGNC Symbol;Acc:1158]
ENSG00000100335,22,MIEF1,14,mitochondrial elongation factor 1 [Source:HGNC Symbol;Acc:25979]
ENSG00000100347,22,SAMM50,7,SAMM50 sorting and assembly machinery component [Source:HGNC Symbol;Acc:24276]
ENSG00000100348,22,TXN2,5,thioredoxin 2 [Source:HGNC Symbol;Acc:17772]
ENSG00000100372,22,SLC25A17,18,"solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17 [Source:HGNC Symbol;Acc:10987]"
ENSG00000100412,22,ACO2,7,"aconitase 2, mitochondrial [Source:HGNC Symbol;Acc:118]"
ENSG00000100416,22,TRMU,19,tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase [Source:HGNC Symbol;Acc:25481]
ENSG00000100445,14,SDR39U1,22,"short chain dehydrogenase/reductase family 39U, member 1 [Source:HGNC Symbol;Acc:20275]"
ENSG00000100575,14,TIMM9,10,translocase of inner mitochondrial membrane 9 homolog (yeast) [Source:HGNC Symbol;Acc:11819]
ENSG00000100577,14,GSTZ1,19,glutathione S-transferase zeta 1 [Source:HGNC Symbol;Acc:4643]
ENSG00000100596,14,SPTLC2,6,"serine palmitoyltransferase, long chain base subunit 2 [Source:HGNC Symbol;Acc:11278]"
ENSG00000100601,14,ALKBH1,4,"alkB, alkylation repair homolog 1 (E. coli) [Source:HGNC Symbol;Acc:17911]"
ENSG00000100714,14,MTHFD1,16,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase [Source:HGNC Symbol;Acc:7432]"
ENSG00000100889,14,PCK2,16,phosphoenolpyruvate carboxykinase 2 (mitochondrial) [Source:HGNC Symbol;Acc:8725]
ENSG00000100890,14,KIAA0391,11,KIAA0391 [Source:HGNC Symbol;Acc:19958]
ENSG00000100902,14,PSMA6,14,"proteasome (prosome, macropain) subunit, alpha type, 6 [Source:HGNC Symbol;Acc:9535]"
ENSG00000101019,20,UQCC1,27,ubiquinol-cytochrome c reductase complex assembly factor 1 [Source:HGNC Symbol;Acc:15891]
ENSG00000101084,20,C20orf24,7,chromosome 20 open reading frame 24 [Source:HGNC Symbol;Acc:15870]
ENSG00000101166,20,SLMO2,4,slowmo homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:15892]
ENSG00000101181,20,MTG2,12,mitochondrial ribosome-associated GTPase 2 [Source:HGNC Symbol;Acc:16239]
ENSG00000101247,20,NDUFAF5,16,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 5 [Source:HGNC Symbol;Acc:15899]"
ENSG00000101349,20,PAK7,3,p21 protein (Cdc42/Rac)-activated kinase 7 [Source:HGNC Symbol;Acc:15916]
ENSG00000101365,20,IDH3B,11,isocitrate dehydrogenase 3 (NAD+) beta [Source:HGNC Symbol;Acc:5385]
ENSG00000101417,20,PXMP4,3,"peroxisomal membrane protein 4, 24kDa [Source:HGNC Symbol;Acc:15920]"
ENSG00000101546,18,RBFA,5,ribosome binding factor A (putative) [Source:HGNC Symbol;Acc:26120]
ENSG00000101986,X,ABCD1,3,"ATP-binding cassette, sub-family D (ALD), member 1 [Source:HGNC Symbol;Acc:61]"
ENSG00000102078,X,SLC25A14,14,"solute carrier family 25 (mitochondrial carrier, brain), member 14 [Source:HGNC Symbol;Acc:10984]"
ENSG00000102738,13,MRPS31,4,mitochondrial ribosomal protein S31 [Source:HGNC Symbol;Acc:16632]
ENSG00000102743,13,SLC25A15,4,solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15 [Source:HGNC Symbol;Acc:10985]
ENSG00000102763,13,VWA8,4,von Willebrand factor A domain containing 8 [Source:HGNC Symbol;Acc:29071]
ENSG00000102897,16,LYRM1,11,LYR motif containing 1 [Source:HGNC Symbol;Acc:25074]
ENSG00000102910,16,LONP2,9,"lon peptidase 2, peroxisomal [Source:HGNC Symbol;Acc:20598]"
ENSG00000102967,16,DHODH,9,dihydroorotate dehydrogenase (quinone) [Source:HGNC Symbol;Acc:2867]
ENSG00000103018,16,CYB5B,7,cytochrome b5 type B (outer mitochondrial membrane) [Source:HGNC Symbol;Acc:24374]
ENSG00000103024,16,NME3,11,NME/NM23 nucleoside diphosphate kinase 3 [Source:HGNC Symbol;Acc:7851]
ENSG00000103121,16,CMC2,23,C-x(9)-C motif containing 2 [Source:HGNC Symbol;Acc:24447]
ENSG00000103150,16,MLYCD,2,malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:7150]
ENSG00000103160,16,HSDL1,7,hydroxysteroid dehydrogenase like 1 [Source:HGNC Symbol;Acc:16475]
ENSG00000103202,16,NME4,10,NME/NM23 nucleoside diphosphate kinase 4 [Source:HGNC Symbol;Acc:7852]
ENSG00000103356,16,EARS2,17,"glutamyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:29419]"
ENSG00000103423,16,DNAJA3,14,"DnaJ (Hsp40) homolog, subfamily A, member 3 [Source:HGNC Symbol;Acc:11808]"
ENSG00000103507,16,BCKDK,10,branched chain ketoacid dehydrogenase kinase [Source:HGNC Symbol;Acc:16902]
ENSG00000103642,15,LACTB,4,"lactamase, beta [Source:HGNC Symbol;Acc:16468]"
ENSG00000103707,15,MTFMT,7,mitochondrial methionyl-tRNA formyltransferase [Source:HGNC Symbol;Acc:29666]
ENSG00000104325,8,DECR1,19,"2,4-dienoyl CoA reductase 1, mitochondrial [Source:HGNC Symbol;Acc:2753]"
ENSG00000104381,8,GDAP1,8,ganglioside induced differentiation associated protein 1 [Source:HGNC Symbol;Acc:15968]
ENSG00000104412,8,EMC2,7,ER membrane protein complex subunit 2 [Source:HGNC Symbol;Acc:28963]
ENSG00000104687,8,GSR,8,glutathione reductase [Source:HGNC Symbol;Acc:4623]
ENSG00000104765,8,BNIP3L,7,BCL2/adenovirus E1B 19kDa interacting protein 3-like [Source:HGNC Symbol;Acc:1085]
ENSG00000104823,19,ECH1,17,"enoyl CoA hydratase 1, peroxisomal [Source:HGNC Symbol;Acc:3149]"
ENSG00000104835,19,SARS2,15,"seryl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:17697]"
ENSG00000104907,19,TRMT1,23,tRNA methyltransferase 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25980]
ENSG00000104936,19,DMPK,19,dystrophia myotonica-protein kinase [Source:HGNC Symbol;Acc:2933]
ENSG00000104980,19,TIMM44,12,translocase of inner mitochondrial membrane 44 homolog (yeast) [Source:HGNC Symbol;Acc:17316]
ENSG00000105197,19,TIMM50,20,translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:23656]
ENSG00000105220,19,GPI,17,glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:4458]
ENSG00000105341,19,ATP5SL,16,ATP5S-like [Source:HGNC Symbol;Acc:25496]
ENSG00000105364,19,MRPL4,11,mitochondrial ribosomal protein L4 [Source:HGNC Symbol;Acc:14276]
ENSG00000105379,19,ETFB,5,"electron-transfer-flavoprotein, beta polypeptide [Source:HGNC Symbol;Acc:3482]"
ENSG00000105518,19,TMEM205,16,transmembrane protein 205 [Source:HGNC Symbol;Acc:29631]
ENSG00000105552,19,BCAT2,12,"branched chain amino-acid transaminase 2, mitochondrial [Source:HGNC Symbol;Acc:977]"
ENSG00000105607,19,GCDH,18,glutaryl-CoA dehydrogenase [Source:HGNC Symbol;Acc:4189]
ENSG00000105701,19,FKBP8,16,"FK506 binding protein 8, 38kDa [Source:HGNC Symbol;Acc:3724]"
ENSG00000105755,19,ETHE1,6,ethylmalonic encephalopathy 1 [Source:HGNC Symbol;Acc:23287]
ENSG00000105793,7,GTPBP10,12,GTP-binding protein 10 (putative) [Source:HGNC Symbol;Acc:25106]
ENSG00000105819,7,PMPCB,9,peptidase (mitochondrial processing) beta [Source:HGNC Symbol;Acc:9119]
ENSG00000105953,7,OGDH,10,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide) [Source:HGNC Symbol;Acc:8124]
ENSG00000106028,7,SSBP1,14,"single-stranded DNA binding protein 1, mitochondrial [Source:HGNC Symbol;Acc:11317]"
ENSG00000106049,7,HIBADH,4,3-hydroxyisobutyrate dehydrogenase [Source:HGNC Symbol;Acc:4907]
ENSG00000106077,7,ABHD11,14,abhydrolase domain containing 11 [Source:HGNC Symbol;Acc:16407]
ENSG00000106105,7,GARS,9,glycyl-tRNA synthetase [Source:HGNC Symbol;Acc:4162]
ENSG00000106153,7,CHCHD2,2,coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:HGNC Symbol;Acc:21645]
ENSG00000106246,7,PTCD1,6,pentatricopeptide repeat domain 1 [Source:HGNC Symbol;Acc:22198]
ENSG00000106541,7,AGR2,8,anterior gradient 2 [Source:HGNC Symbol;Acc:328]
ENSG00000106554,7,CHCHD3,9,coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:HGNC Symbol;Acc:21906]
ENSG00000106591,7,MRPL32,4,mitochondrial ribosomal protein L32 [Source:HGNC Symbol;Acc:14035]
ENSG00000106603,7,COA1,20,cytochrome c oxidase assembly factor 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:21868]
